 Question                                                                                                                                                                                                                                                                        |,Answer   
,
"  Which is faster, python list or Numpy arrays, and why? ","NumPy arrays are faster than Python lists for numerical operations. NumPy is a library for working with arrays in Python, and it provides a number of functions for performing operations on arrays efficiently. One reason why NumPy arrays are faster than Python lists is that NumPy arrays are implemented in C, while Python lists are implemented in Python. This means that operations on NumPy arrays are implemented in a compiled language, which makes them faster than operations on Python lists, which are implemented in an interpreted language. "
  What is the difference between a python list and a tuple? ,"In Python, a list is an ordered collection of objects that can be of different types. Lists are mutable, which means that you can change the value of a list element or add or remove elements from a list. Lists are created using square brackets and a comma-separated list of values. A tuple is also an ordered collection of objects, but it is immutable, which means that you cannot change the value of a tuple element or add or remove elements from a tuple. Lists are defined using square brackets ([‘’]), while tuples are defined using parentheses ((‘’, )). Lists have several built-in methods for adding, removing, and manipulating elements, while tuples do not have these methods. In general, tuples are faster than lists in Python."
  What are python sets? Explain some of the properties of sets.," In Python, a set is an unordered collection of unique objects. Sets are often used to store a collection of distinct objects and to perform membership tests (i.e., to check if an object is in the set). Sets are defined using curly braces ({ and }) and a comma-separated list of values. Here are some key properties of sets in Python: Sets are unordered: Sets do not have a specific order, so you cannot index or slice them like you can with lists or tuples. Sets are unique: Sets only allow unique objects, so if you try to add a duplicate object to a set, it will not be added. Sets are mutable: You can add or remove elements from a set using the add and remove methods. Sets are not indexed: Sets do not support indexing or slicing, so you cannot access individual elements of a set using an index. Sets are not hashable: Sets are mutable, so they cannot be used as keys in dictionaries or as elements in other sets. If you need to use a mutable object as a key or an element in a set, you can use a tuple or a frozen set (an immutable version of a set). "
  What is the difference between split and join? ,"Split and join are both functions of python strings, but they are completely different when it comes to functioning. The split function is used to create a list from strings based on some delimiter, for example, space. Eg. a = ‘This is a string’ Li = a.split(‘ ‘) print(li) Output – [‘This’, ‘is’, ‘a’, ‘string’] The join() method is a built-in function of Python’s str class that concatenates a list of strings into a single string. It is called on a delimiter string and invoked with a list of strings to be joined. The delimiter string is inserted between each string in the list when the strings are concatenated. Here is an example of how to use the join() method: Eg. “ “.join(li) Output – This is a string Here the list is joined with a space in between."
  Explain the logical operations in python. ,"In Python, the logical operations and, or, and not can be used to perform boolean operations on truth values (True and False). The and operator returns True if both the operands are True, and False otherwise. The or operator returns True if either of the operands is True, and False if both operands are False. The not operator inverts the boolean value of its operand. If the operand is True, not return False, and if the operand is False, not return True."
 Explain the top 5 functions used for python strings. ,Here are the top 5 Python string functions: 
,   - len(): Returns the length of a string.
,   - strip(): Removes leading and trailing whitespace from a string.
,   - split(): Splits a string into a list of substrings based on a delimiter.
